iter	Passed	Remaining
0	0	39
1	0	37
2	1	34
3	1	30
4	1	30
5	1	30
6	2	29
7	2	29
8	2	28
9	3	28
10	3	28
11	3	28
12	4	27
13	4	27
14	4	27
15	5	26
16	5	26
17	5	25
18	6	25
19	6	25
20	6	25
21	7	25
22	7	24
23	7	24
24	8	24
25	8	23
26	8	23
27	9	23
28	9	22
29	9	22
30	10	22
31	10	22
32	10	21
33	11	21
34	11	21
35	12	21
36	12	21
37	12	21
38	13	20
39	13	20
40	14	20
41	14	19
42	14	19
43	14	19
44	15	18
45	15	18
46	16	18
47	16	18
48	17	17
49	17	17
50	18	17
51	18	16
52	18	16
53	19	16
54	19	15
55	19	15
56	20	15
57	20	14
58	20	14
59	21	14
60	22	14
61	22	13
62	22	13
63	23	13
64	23	12
65	24	12
66	24	12
67	24	11
68	25	11
69	25	11
70	26	10
71	26	10
72	26	9
73	27	9
74	27	9
75	28	8
76	28	8
77	29	8
78	29	7
79	29	7
80	30	7
81	30	6
82	31	6
83	31	6
84	32	5
85	32	5
86	33	4
87	33	4
88	33	4
89	34	3
90	34	3
91	35	3
92	36	2
93	36	2
94	36	1
95	37	1
96	37	1
97	38	0
98	38	0
99	39	0
